,Siruta,Localitate,LT
1710,102446,Daia,56.51140684410646
1715,102605,Dragomiresti-Vale,50.21078322609275
1716,102641,Dragoesti,50.67750677506775
1720,102838,Frasinet,63.98763523956723
1728,103238,Ghimpati,65.74793875147232
1730,103309,Gogosari,75.0186428038777
1732,103372,Gostinari,50.89334055224689
1737,103568,Gurbanesti,73.34096109839817
1739,103693,Iepuresti,68.5583822570124
1745,104047,Letca Noua,60.40530007794233
1754,104341,Nicolae Balcescu,57.072771872444804
1756,104421,Nuci,51.816530426884654
1758,104519,Oinacu,63.47479143997098
1760,104582,Petrachioaia,51.54011461318052
1763,104715,Putineiu,66.59352715304443
1768,104975,Schitu,54.96845425867508
1770,105106,Singureni,54.63286713286713
1775,105295,Stanesti,57.03458076740881
1776,105348,Stoenesti,65.7928388746803
1778,105419,Stefanestii De Jos,58.27968771401177
1805,107047,Arinis,50.468384074941454
1806,107083,Asuaju De Sus,52.794411177644704
1829,108151,Giulesti,50.62523683213338
1857,109265,Oras Ulmeni,54.36229852838122
1862,109826,Simian,78.1563593932322
1864,110027,Obarsia-Closani,54.406580493537014
1868,110296,Bala,56.42201834862385
1869,110456,Balta,95.47079856972587
1871,110571,Bacles,85.95271210013908
1872,110688,Balvanesti,72.71468144044321
1875,110875,Brosteni,55.118110236220474
1876,110946,Burila Mare,63.40450771055753
1877,111006,Butoiesti,58.407766990291265
1878,111097,Cazanesti,71.03729603729604
1879,111220,Ciresu,147.12041884816753
1884,111550,Darvari,54.63008329250367
1885,111587,Dumbrava,65.4309545875811
1886,111685,Floresti,51.83823529411765
1887,111783,Garla Mare,53.81679389312977
1888,111818,Godeanu,94.03973509933775
1890,111916,Greci,90.37267080745342
1894,112129,Husnicioara,83.63821138211382
1896,112263,Ilovat,78.10894141829394
1898,112370,Isverna,67.77332570120205
1899,112469,Izvoru Barzii,52.249890782000875
1901,112600,Livezile,104.4502617801047
1902,112664,Malovat,61.36576239476146
1904,112771,Oprisor,71.94835680751174
1905,112806,Padina,105.08298755186722
1907,112904,Dubova,51.47783251231527
1908,112959,Podeni,92.20389805097452
1909,112995,Ponoarele,61.063291139240505
1910,113153,Poroina Mare,113.38582677165354
1912,113233,Prunisor,86.31303208906353
1914,113466,Rogova,70.22900763358778
1915,113493,Salcia,59.446606139213145
1916,113518,Stangaceaua,75.71157495256166
1917,113607,Svinita,50.702426564495525
1919,113698,Sovarna,58.95765472312704
1920,113732,Tamna,53.575857792476235
1921,113849,Vanatori,84.44306160547605
1923,113929,Vladaia,70.79091620986688
1925,114060,Branistea,61.32332878581174
1967,116723,Faragau,52.79552715654952
2028,120511,Bereni,51.34328358208955
2104,125105,Ruginoasa,55.035737491877846
2113,125374,Slatioara,53.10095065640561
2120,125659,Babiciu,58.64089045108377
2121,125677,Baldovinesti,57.7906976744186
2122,125757,Barasti,81.81818181818183
2128,126077,Bucinisu,51.07458912768648
2132,126228,Colonesti,84.41153546375682
2134,126380,Coteana,72.18543046357617
2137,126503,Cungrea,68.4041184041184
2143,126825,Dobrun,50.422297297297305
2144,126905,Fagetelu,74.84848484848486
2160,127563,Milcov,52.00314218381775
2163,127714,Nicolae Titulescu,58.139534883720934
2165,127812,Oboga,69.25308194343728
2166,127858,Oporelu,63.25088339222616
2167,127901,Optasi-Magura,64.48598130841121
2171,128105,Oras Piatra-Olt,60.60429982568274
2173,128221,Plesoiu,50.206440957886045
2174,128301,Poboru,54.28203477141017
2176,128436,Priseaca,50.70842654735272
2185,128882,Samburesti,67.68507638072856
2193,129282,Stefan Cel Mare,72.8581713462923
2194,129317,Tatulesti,78.12061711079944
2197,129503,Topana,70.03610108303249
2206,129898,Visina,50.48543689320388
2208,129987,Valcele,57.284595300261095
2210,130062,Voineasa,65.22248243559719
2215,130302,Gavanesti,54.59119496855346
2216,130311,Ghimpeteni,50.50675675675676
2218,130339,Gura Padinii,56.800563777307964
2223,130384,Soparlita,69.46410515672396
2294,134390,Plopu,52.54323499491353
2375,138869,Socond,51.08421583459405
2394,140084,Babeni,53.10136157337367
2401,140440,Camar,55.10976532929599
2402,140477,Carastelec,56.062424969988
2405,140583,Coseiu,59.11431513903192
2413,141081,Fildu De Jos,51.94931773879142
2414,141134,Galgau,52.659860290166584
2417,141376,Hereclean,52.47678018575851
2423,141884,Lozna,55.46666666666666
2439,142774,Surduc,52.62983790936156
2440,142854,Samsud,52.32558139534884
2442,142952,Valcau De Jos,51.63800163800164
2445,143147,Zimbor,66.25463535228677
2615,151503,Capu Campului,61.92226890756303
2625,151709,Ciuperceni,58.110236220472444
2633,151932,Crevenicu,54.47154471544715
2635,151996,Balaci,60.49766718506998
2638,152127,Bogdana,58.043981481481474
2645,152350,Calinesti,68.22660098522168
2646,152412,Calmatuiu,52.80276816608996
2651,152582,Cosmesti,58.362631843294835
2653,152662,Crangu,99.64189794091315
2654,152724,Didesti,52.103559870550164
2657,152868,Draganesti De Vede,51.42348754448398
2658,152902,Draganesti-Vlasca,58.09257533395464
2661,153026,Galateni,53.51972041937094
2671,153384,Mosteni,62.226117440841364
2680,153623,Plopii-Slavitesti,52.46241575946085
2683,153829,Putineiu,51.30490133672821
2685,153909,Rasmiresti,62.035541195476576
2688,154013,Scrioastea,61.86770428015564
2691,154166,Sfintesti,53.40909090909091
2695,154308,Sarbeni,66.97761194029852
2698,154415,Stejaru,57.09169054441261
2699,154460,Suhaia,71.38009049773756
2701,154521,Talpa,75.7070340826686
2704,154709,Toporu,55.64795564795565
2709,154852,Vedea,55.31443755535872
2710,154914,Viisoara,59.23664122137404
2711,154932,Vartoape,55.22098105876639
2715,155092,Beuca,61.44109055501461
2716,155109,Dracea,54.35483870967742
2719,155136,Purani,59.85790408525755
2721,155154,Uda-Clocociov,53.64842454394692
2733,155662,Bara,102.62172284644195
2742,156151,Brestovat,65.22462562396007
2750,156534,Criciova,68.71717929482371
2761,157193,Ghizela,57.08418891170432
2777,157969,Ohaba Lunga,69.23076923076923
2781,158136,Pietroasa,64.7268408551069
2789,158608,Secas,57.333333333333336
2819,159516,Bucovat,52.87485907553551
2864,161348,Stejaru,56.144578313253014
2993,170444,Gusoeni,52.170138888888886
2996,170685,Ladesti,59.210526315789465
3002,171101,Maciuca,58.43023255813954
3003,171209,Madulari,50.319051959890615
3006,171469,Milcoiu,52.312138728323696
3027,173132,Stanesti,50.857142857142854
3031,173597,Sutesti,53.87344766410408
3040,174218,Voicesti,50.162601626016254
3045,174511,Lacusteni,51.37111517367459
3046,174520,Mitrofani,56.978233034571055
3056,175224,Barsesti,52.467532467532465
3068,175983,Dumitresti,52.36486486486487
3119,178965,Spulber,53.49065880039331
3134,179604,Poienile Izei,50.27624309392266
3152,179793,Buesti,55.875299760191844
3156,179837,Coas,55.470737913486005
3165,179926,Rascaeti,58.18893236444941
3176,180037,Boghis,51.801495581237255
