,Judet,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
10,bz,SahateniSapocaSarulestiScortoasaScutelniciSiriuSmeeniStalpuTisauTopliceniTintestiUlmeniVadu PasiiValea RamniculuiValea SalcieiVernestiVintila VodaBreazaViperestiValceleleZarnestiZiduriUnguriuFloricaPuiestiCostestiRamniceluBraestiMunicipiul BuzauMunicipiul Ramnicu SaratAmaruBalta AlbaMaguraBalaceanuBeceniBercaC.a. RosettiBisocaBlajaniBolduBozioruBradeanuBraestiValceleleBreazaBudaCalviniC.a. RosettiCanestiCatinaCernatestiChiliileMaracineniChiojduCilibiaCislauCostestiCochirleancaColtiCostestiCozieniMaguraGalbinasiGheraseniGhergheasaGlodeanu SaratBraestiGlodeanu-SilisteaGrebanuGura TeghiiCernatestiLarguLopatariPadinaLuciuMaguraMaracineniMargaritestiMereiSarulestiMihailestiManzalestiMovila BanuluiMurgestiNaeniOras NehoiuOdailePadinaPardosiPanatauUlmeniOras PatarlageleCostestiPietroaseleParscovCatinaPodgoriaOras PogoanelePosta CalnauPuiestiGalbinasiBreazaRacoviteniRamniceluRobeascaRusetuSageata,552509868.0,181407350.0,995499.0,507748959.0,99498328.0,101817768.0
11,cj,CojocnaCornestiDabacaFeleacuFizesu GherliiFlorestiFrataAlunisGeacaGilauGarbauIaraIclodIzvoru CrisuluiJucuAlunisLunaMaguri-RacatauManastireniMargauMariselMintiu GherliiMociuMoldovenestiPalatcaCornestiPanticeuVultureniPetrestii De JosPloscosPoieniRecea-CristurRiscaSacuieuSavadislaSanmartinSicSancraiuSanmartinSanpaulFlorestiSuatuTritenii De JosTureniTagaUngurasVadValea IeriiViisoaraVultureniNegreniViisoaraMicaCalarasiSanmartinSanpaulMihai ViteazuCatinaFlorestiViisoaraMunicipiul Cluj-NapocaMunicipiul DejCuzdrioaraJichisu De JosMicaCalarasiMunicipiul TurdaMihai ViteazuSandulestiMunicipiul Campia TurziiMunicipiul GherlaOras HuedinAghiresuAitonAlunisApahidaAschileuBaciuBaisoaraBelisViisoaraBobalnaBontidaBorsaBuzaCaianuCalarasiCalateleCamarasuCapusu MareViisoaraViisoaraCaseiuCatinaCeanu MareChinteniChiuiestiCiuceaCiurilaCatcau,186411920.0,9117763.0,1106816.0,219512773.0,28465367.0,18361724.0
12,cl,SarulestiUlmeniUnireaValceleleStefan Cel MareStefan Cel MareMunicipiul OltenitaGradisteaMitreniMunicipiul CalarasiModeluFundeniStefan Cel MareBelciugateleBorceaIndependentaCiocanestiOras BudestiCuza VodaDichiseniDor MaruntDorobantuUlmuDragalinaUnireaCascioareleDragos VodaChirnogiChiseletCiocanestiGradisteaIndependentaJegaliaLehliuOras Lehliu GaraLupsanuCuza VodaCiocanestiAlexandru OdobescuPerisoruCurcaniRosetiStefan Cel MareStefan Cel MareStefan VodaUlmuIndependentaFrasinetUnireaValceleleFrumusaniVlad TepesDorobantuFundeniOras FunduleaNicolae BalcescuGradisteaGurbanestiIleanaLuicaGalbinasiManastireaCuza VodaNanaNicolae BalcescuPlatarestiStefan Cel MareRadovanuGradisteaSarulestiSohatuSpantovSoldanuTamadau MareUlmeniNicolae BalcescuValea ArgoveiVasilatiFrasinetNicolae BalcescuGalbinasiCrivatUnirea,2017556963.0,3500404.0,2813292.0,337115973.0,119163961.0,113557575.0
13,cs,BrebuMunicipiul ResitaOras AninaOras Baile HerculaneOras BocsaOcna De FierMunicipiul CaransebesOras Moldova NouaOras OravitaOras Otelu RosuArmenisBaniaBautarBerlisteBerzascaBerzoviaBolvasnitaBozoviciBrebuBrebu NouBuchinBucosnitaCarasovaCarbunariConstantin DaicoviciuCiclova RomanaCiuchiciCiudanovitaCopaceleCorneaCornerevaDalbosetDoclinDogneceaDomasneaEzerisFarliugForoticGarnicGlimbocaGoruiaGradinariIablanitaLapusnicelLapusnicu MareLuncavitaLupacMargaMaureniMehadiaMehadicaNaidasObrejaPaltinisGradinariTarnovaCoroniniPojejenaPrigorRamnaRacasdiaEftimie MurguRusca MontanaSacuSasca MontanaSichevitaSlatina-TimisSocolSopotu NouLuncavitaGradinariTeregovaTicvaniu MareTarnovaTopletTurnu RuieniValiugVaradiaVermesVraniZavoiZorlentu MarePaltinis,96448866.0,1726297.0,362.0,89988627.0,24995086.0,20630835.0
14,ct,CruceaDumbraveniFantaneleFantaneleFantaneleFantaneleFantaneleCorbuCiocarliaMircea VodaAlbestiIndependentaSilisteaMunicipiul ConstantaOras EforieMunicipiul MangaliaOras NavodariCuza VodaOras TechirghiolAgigeaLimanuOras OvidiuAlbestiTuzlaOras CernavodaCorbuOras HarsovaMunicipiul MedgidiaAdamclisiAlbestiIndependentaAlimanOras BaneasaCasteluComanaCerchezuChirnogeniCuza VodaMihail KogalniceanuDumbraveniCiobanuCiocarliaCobadinCogealacComanaCorbuCruceaCumpanaDeleniDobromirGarliciuGhindarestiIndependentaIon CorvinIstriaLipnitaMereniMihail KogalniceanuHoriaMihai ViteazuMircea VodaOras MurfatlarOras Negru VodaNicolae BalcescuOltinaOstrovMihail KogalniceanuPantelimonPecineagaPesteraPoarta AlbaRasovaOstrovSaraiuSaceleSeimeniSilisteaTargusorTopaluTopraisarValu Lui TraianLuminaDumbraveniVulturuMereniTortomanAmzaceaHoriaCostinestiBaraganuCuza VodaSalignyGradinaFantaneleNicolae BalcescuMihai ViteazuHoriaAlbestiDeleniSilisteaVulturuNicolae BalcescuFantaneleDeleniMereniNicolae BalcescuComanaAlbesti,1652457946.0,57545965.0,174492.0,240826209.0,173546645.0,132188741.0
15,cv,Valea MareValea MareMereniMereniBixadMunicipiul Sfantu GheorgheOras BaraoltOras CovasnaComandauOras Intorsura BuzauluiBarcaniSita BuzauluiMunicipiul Targu SecuiescAita MareBataniBelinBodocBorosneu MareBratesBradutBretcuValea MareCatalinaCernatChichisDobarlauGhelintaGhidfalauHaghigIlieniValceleLemniaMalnasMoacsaOjdulaOzunPoianReciSanzieniTuriaValea CrisuluiValceleVarghisZagonZabalaValea MareMereniArcusBixadMicfalauDalnicEstelnic,97427952.0,372844.0,1333750.0,18845028.0,22766070.0,5105202.0
16,db,Oras FieniCornestiMotaieniOras GaestiValea LungaGura FoiiPetrestiMunicipiul MoreniPietrariIederaOras PucioasaBranestiDarmanestiOras TituBranisteaBaleniBarbuletuRuncuBezdeadBilciurestiBuciumeniBucsaniCandestiCobiaCojascaComisaniContestiCorbii MariCornateluCornestiCostestii Din ValeCrangurileDarmanestiDobraOdobestiDragodanaVladeniDragomirestiVoinestiFintaBaleniBranisteaGlodeniValea MareGura OcniteiBuciumeniGura SutiiHulubestiI. L. CaragialeLucieniLudestiLunguletuMalu Cu FloriGlodeniManestiTataraniMatasaruMogosaniMoroeniMorteniNucetOcnitaOdobestiPietrositaPoianaPotlogiCiocanestiProdulestiBranestiPucheniVoinestiBrezoaeleBucsaniOras RacariManestiRuncuSalcioaraButimanuSelaruTataraniUliestiValea LungaCiocanestiValea MareVacarestiValeni-DambovitaVisinaPoianaVisinestiVarfuriCrevediaVoinestiCiocanestiVulcana-BaiSalcioaraRaciuVladeniAninoasaContestiBranestiAninoasaNiculestiValea MareSlobozia MoaraVladeniVisinaCandestiTartasestiUlmiCandestiPetrestiDobraBranisteaVulcana-PandeleVladeniDragomirestiValea MareDragomirestiRuncuRaciuPietrariRau AlbRascaetiPersinariMunicipiul TargovisteAninoasaDoicestiBranisteaRazvadSotangaUlmiDarmanesti,188511133.0,1728125.0,4060133.0,341719220.0,12379779.0,31607516.0
17,dj,Poiana MareDobrestiPredestiCetateRadovanRastRobanestiSadovaSalcutaScaestiSeaca De CampSeaca De PadureSecuSilistea CruciiSopotTeascTerpezitaTesluiTugluiUnireaUrzicutaValea StanciuluiVelaVerbitaVartopVarvoru De JosCataneCarceaCarnaCotofenii Din FataDobrotestiGaliciuicaGhidiciGhindeniIntorsuraPlesoiRojisteTalpasBradestiAfumatiSadovaUnireaCalarasiBucovatMunicipiul CraiovaBucovatUnireaIsalnitaPodariDobrestiSimnicu De SusMunicipiul BailestiMunicipiul CalafatOras FiliasiOras SegarceaAfumatiAlmajCernatestiAmarastii De JosAmarastii De SusApele ViiArgetoaiaDobrotestiOras BechetBistretGogosuBarcaBotosesti-PaiaBrabovaBradestiBralostitaBratovoestiBreastaBulzestiCaloparCaraulaCarpenCastranovaCalarasiCelaruCeratCernatestiCetateCioroiasiCiupercenii NoiCosoveniCotofenii Din DosDanetiOras DabuleniDesaTesluiDiostiDragotestiDobrestiDragotestiDranicFarcasGalicea MareGhercestiGigheraGiubegaGiurgitaGangiovaGogosuGoiceaGoiestiCalarasiGrecestiIzvoareLeuLipovuMacesu De JosMacesu De SusMaglavitMalu MareMelinestiMischiiMarsaniMotateiMurgasiNegoiOrodelOstroveniPerisorPielestiPiscu VechiUnireaPlenita,686995307.0,28614720.0,302347.0,151197652.0,11473314.0,49896140.0
18,gj,SchelaSlivilestiStanestiStejariStoinaBranestiTelestiOras TismanaTurbureaOras TurceniTantareniRuncuUrdariVagiulestiVladimirOras RovinariStanestiCrasnaDanestiBranestiBalestiRuncuSchelaMunicipiul Targu JiuCalnicBalestiCiuperceniDragutestiTurcinestiMunicipiul MotruOras NovaciOras Targu CarbunestiBarbatestiOras TicleniAlbeniAlimpestiAninoasaArcaniBaia De FierBalanestiBarbatestiBengesti-CiocadiaBerlestiBalteniBolbosiBorascuBranestiOras Bumbesti-JiuBumbesti-PiticBustuchinCapreniAninoasaCatuneleCiuperceniCalnicCrasnaCrusetDanciulestiDanestiDragotestiFarcasestiDragotestiGlogovaIonestiGodinestiHurezaniBalteniIonestiJupanestiLelestiLicuriciStanestiLogrestiMatasariMusetestiNegomirPadesBalteniPestisaniPlopsoruDanestiPolovragiPrigoriaRosia De AmaradiaRuncuSamarinestiSaceluAninoasaSaulestiScoarta,47043316.0,9537596.0,123982.0,25419712.0,3409525.0,5053094.0
19,gl,SchelaGrivitaBranisteaBaleniIvestiBuciumeniDraguseniRediuMunicipiul GalatiSendreniVanatoriMunicipiul TecuciDraganestiMunteniOras BerestiBeresti-MeriaOras Targu BujorVanatoriBarceaBalabanestiBalasestiBaleniDraganestiBaneasaBranisteaDraguseniBrahasestiBuciumeniVladestiCavadinestiCertestiCorodDraganestiCorniCosmestiCostache NegriCucaCudalbiDraguseniFartanestiFoltestiFrumusitaFundeniGhidigeniBaneasaGohorGrivitaIndependentaIvestiPoianaJorastiLiestiMatcaMastacaniMovileniNamoloasaNicorestiCuza VodaOanceaPecheaPiscuTudor VladimirescuPriponestiRediuScanteiestiSchelaSlobozia ConachiSmardanSmultiSuceveniTudor VladimirescuTulucestiVladestiGrivitaTepuIndependentaUmbrarestiValea MaruluiVarleziVladestiRadestiNegrilestiPoianaCuza VodaSuhurluiCorniDraguseniIndependentaDraganestiFundeniMovileniCosmestiRediuVanatoriSmardanCuza VodaRadestiVanatoriNegrilestiVanatoriBranisteaNegrilestiCucaBranisteaMovileni,866540893.0,1660027.0,18186.0,130326560.0,24676551.0,43624102.0
20,gr,StanestiBucsaniStanestiStoenestiCalugareniBaneasaMunicipiul GiurgiuSloboziaSloboziaStoenestiAdunatii-CopaceniBaneasaIzvoareleBolintin-DealOras Bolintin-ValeBucsaniBulbucataButurugeniCalugareniVedeaClejaniColibasiComanaGradinariCrevedia MareComanaDaiaGradinariFloresti-StoenestiIzvoareleFratestiGaiseniGaujaniIzvoareleGhimpatiGogosariGostinuGostinariGradinariGreacaMihai BravuHotareleIepurestiIzvoareleIzvoareleJoitaLetca NouaSchituMihai BravuOras MihailestiMarsaOgrezeniOinacuStoenestiPutineiuPrunduPutineiuRasuceniRoata De JosSchituSingureniStanestiStoenestiToporuUlmiVedeaValea DraguluiVarastiVedeaVanatorii MiciMaluCosobaHerastiIsvoareleSabareniComanaUlmi,438285558.0,3317585.0,2074071.0,267554538.0,2906508.0,27011182.0
21,hd,Lunca Cernii De JosLuncoiu De JosMartinestiOrastioara De SusPestisu MicPuiRapoltu MareRachitovaRibitaRau De MoriRomosSarmizegetusaSalasu De SusSantamaria-OrleaSoimusTomestiToplitaTotestiTurdasGeneral BerthelotVata De JosDobraValisoaraVetelVortaZamTomestiTomestiMunicipiul DevaCarjitiMunicipiul HunedoaraGhelariTeliucu InferiorMunicipiul PetrosaniMunicipiul LupeniOras PetrilaTomestiOras UricaniMunicipiul VulcanOras AninoasaBanitaMunicipiul BradCrisciorOras CalanOras HategMunicipiul OrastieOras SimeriaBaia De CrisBalsaBaruBaciaBaitaBatranaBeriuBlajeniBosorodBraniscaBretea RomanaBucesBucuresciBulzestii De SusBunilaBurjucCerbalCerteju De SusDensusDobraOras GeoagiuGurasadaHarauIliaLapugiu De JosLelese,29321157.0,3505942.0,171358.0,181919270.0,7810235.0,4668108.0
22,hr,SecuieniMunicipiul Odorheiu SecuiescBradestiFeliceniTomestiSecuieniMunicipiul Miercurea CiucPauleni-CiucOras Baile TusnadOras BalanOras BorsecOras Cristuru SecuiescMunicipiul GheorgheniMunicipiul ToplitaOras VlahitaAtidAvramestiSanmartinBilborCapalnitaCiucsangeorgiuSanmartinCiumaniCartaCorbuCorundDanestiDealuSacelDitrauDarjiuFrumoasaGalautasSuseniJoseniLazareaLuetaLunca De JosSatu MareLunca De SusLupeniMartinisMerestiMihaileniMugeniTomestiOclandPlaiesii De JosPraidCorbuRemeteaSacelSarmasSecuieniSiculeniSancraieniSandominicSanmartinSansimionSubcetateSuseniSimonestiCorbuTulghesTusnadUliesVarsagVoslabeniZeteaMadarasCozmeniTomestiCiceuLeliceniPorumbeniRacuSatu MareSantimbruSuseniTomestiCartaMihaileniMadarasBradestiFrumoasaMihaileniMadarasRemeteaDanestiSantimbruDanesti,132746503.0,1744212.0,1323131.0,64955912.0,34054182.0,27901266.0
23,if,DomnestiVidraBranestiOras BufteaGradisteaAfumatiBalotestiBerceniBranestiCernicaGradisteaCiolpaniCiorogarlaClinceniCorbeancaCornetuDascaluGaneasaDarasti-Ilfov1 DecembrieDomnestiDragomiresti-ValeGaneasaAfumatiGradisteaGruiuCopaceniBranestiMoara VlasieiNuciPerisPetrachioaiaVidraGradisteaSnagovStefanestii De JosOras BragadiruChiajnaOras ChitilaTunariDobroestiGlinaJilavaOras MagureleMogosoaiaOras OtopeniOras PantelimonOras Popesti LeordeniOras VoluntariCopaceniVidraBerceni,438551503.0,6172984.0,48569145.0,201179030.0,13140001.0,33531082.0
24,il,GrivitaMoldoveniRosioriScanteiaSinestiSinestiTraianVladeniBraziiGheorghe DojaMunicipiul UrziceniCiocarliaManasiaAdancataMunicipiul SloboziaAlexeniArmasestiMunicipiul FetestiAxinteleOras TandareiAlbestiOras AmaraBarcanestiAndrasestiBalaciuGrivitaRosioriBordusaniBucuBraziiOras CazanestiCiochinaCiulnitaCocoraCosambestiTraianSalcioaraAlbestiFacaeniGheorghe DojaGheorghe LazarGiurgeniAlbestiGrinduGrivitaMihail KogalniceanuMilosestiCosereniCiocarliaMovilaMunteni-BuzauPerietiRevigaSalcioaraSaveniScanteiaDragoestiSfantu GheorgheStelnicaDriduSuditiOras Fierbinti-TargValea CioriiVladeniMovilitaGrinduMihail KogalniceanuGarboviPerietiMihail KogalniceanuIon RoataSfantu GheorgheJilaveleDragoestiSarateniMovilitaAlbestiTraianSinestiVladeniTraianValea MacrisuluiAdancataRosioriTraianBarcanestiVladeniBoranestiBuestiMaiaOgradaRosioriColeliaMarculestiMoldoveniPlatonestiSarateniGura IalomiteiBarbulestiAlbesti,1073094380.0,568962.0,695467.0,252348109.0,113450792.0,44868650.0
25,is,PlugariOras Podu IloaieiPopestiPopricaniPrisacaniProbotaPopestiRaducaneniRomanestiRuginoasaSchitu DucaScanteiaDolhestiScobintiSinestiSiretelStolniceni-PrajescuStrungaDraguseniSinestiScheiaFantaneleSipoteFantaneleTansaRediuTatarusiTodirestiTrifestiTomestiTibanaVanatoriTibanestiValea SeacaTiganasiTutoraValea SeacaVictoriaPopestiVanatoriTrifestiVladeniVoinestiBalsCostestiDraguseniFantaneleHarmanestiRachiteniRoscaniValea LupuluiCiohoraniFantaneleFantaneleRuginoasaDraguseniTodirestiMovileniVoinestiTodirestiUngheniTomestiRediuCozmestiVictoriaBraestiVoinestiCristestiScanteiaDeleniDraguseniTomestiBraestiVladeniMovileniMunicipiul IasiBarnovaHolbocaRediuTomestiOras HarlauMunicipiul PascaniOras Targu FrumosIon NeculceCostestiGrozestiAlexandru I. CuzaCostestiAndrieseniVanatoriAroneanuBaltatiBelcestiBivolariMosnaUngheniBraestiFantanelePopestiButeaCeplenitaRomanestiCiortestiCiureaCoarnele CapreiComarnaCostuleniCotnariCozmestiCristestiCucuteniVanatoriDagataDeleniSinestiDobrovatDolhestiDumestiPopestiErbiceniFocuriVladeniGolaiestiGorbanGrajduriScheiaGropnitaGrozestiHalaucestiHelesteniVanatoriHorlestiIpateleCostestiLespeziLetcaniLunganiFantaneleMadarjacVladeniDeleniMircestiMironeasaMiroslavaCristestiMiroslovestiMogosestiMogosesti-SiretDumestiMosnaMotcaMovileniOteleni,428442038.0,8016593.0,441685.0,457337332.0,110154677.0,83238853.0
